Date,BCE.TO,RCI.B.TO,TRI.TO,QBR.B.TO,TCL.A.TO,CCA.TO,T.TO
2016-11-15,0.016198358,0.013097589,-0.000202067,-0.001088903,-0.003958182,0.024633153,0.009414833
2016-11-16,0.001208473,0.005229957,0.001967518,0.001498389,-0.001700975,-0.007022034,0.001440548
2016-11-17,0.008248874,0.001930163,0.011371832,0.023410007,0.003964907,0.016203745,0.007648432
2016-11-18,0.001197489,-0.006771907,0.006515997,0.006627074,0.022912316,0.002361066,-0.004055774
2016-11-21,-0.008929008,0.003294957,-0.002108828,0,0.01044252,0.008453436,0.003579185
2016-11-22,-0.005187461,0.004248057,0.008582464,-0.000528323,0.0301586,-0.002028963,-0.000714935
2016-11-23,0.002942683,-0.00192887,0.001742269,-0.005035481,0.009503696,-0.000780988,0.007362547
2016-11-24,0.001727423,0.004430226,0.0055559,0.002653334,-0.005268635,-0.000782125,0.001891509
2016-11-25,0.003617093,0.005558288,0.00500796,-0.00132585,-0.007423188,0.002812205,0.002358642
2016-11-28,-0.000343643,0.000764597,-0.001723945,-0.009061784,0,-0.00046811,-0.003776854
2016-11-29,0.006343858,0.003050714,0.005334935,0.002674035,-0.000532635,0.010094083,0.003069939
2016-11-30,-0.010653212,-0.011874955,-0.004645088,-0.028163061,-0.006946069,-0.002630457,-0.010667392
2016-12-01,-0.014616519,-0.024577347,-0.009007473,-0.020533995,-0.00483719,-0.009338357,-0.008616583
2016-12-02,0.00559339,0.00904284,0.001043384,-0.008163067,0.001076528,-0.001408383,0.011709966
2016-12-05,0.005042112,0.000195843,0.000173721,0.000847598,0.013896705,0.006555483,0.002372906
2016-12-06,0.0008668,-0.00078303,0.000173935,0.030043806,0.036992824,0.001243461,0.002131163
2016-12-07,0.010171807,0.02551866,0.014319102,0.001916848,0.065337568,0.005423523,0.007151515
2016-12-08,-0.00034341,0.000577397,-0.000171221,0.005999339,0.026012284,0.004625461,0.006156788
2016-12-09,0.002056918,-0.00676138,0.010735313,0.001086768,0.00790539,-0.001539444,0.003299784
2016-12-12,0.007676306,0.007339074,-0.000678098,0.011610844,0.011970428,0.002922777,0.002115043
2016-12-13,-0.001669413,0.004607188,0.010292682,-0.006733986,0.005477401,-0.000307044,0.009348217
2016-12-14,-0.014570777,-0.009042528,-0.00033563,0.002159967,0.004994128,0.003680821,-0.01099293
2016-12-15,0.00244319,-0.006982164,-0.002522367,-0.0051374,-0.014598703,0.003667475,0.002348867
2016-12-16,-0.001570145,-0.009975757,-0.003879178,0.005676535,0.026305351,0.006840695,0.000703725
